,Pin,Dispatch Center,Origin Center,Return Center,Facility City,Facility State,ODA
18,733210,Islampure_Shibdangepara_D (West Bengal),Islampure_Shibdangepara_D (West Bengal),Islampure_Shibdangepara_D (West Bengal),Islampure,West Bengal,TRUE
19,571401,Mandya_Dc (Karnataka),Mandya_Dc (Karnataka),Mandya_Dc (Karnataka),Mandya,Karnataka,FALSE
20,521190,Jaggayyapet_MainRd_DPP (Andhra Pradesh),Jaggayyapet_MainRd_DPP (Andhra Pradesh),Jaggayyapet_MainRd_DPP (Andhra Pradesh),Jaggayyapet,Andhra Pradesh,TRUE
21,802216,Malyabag_ArrahRd_D (Bihar),Malyabag_ArrahRd_D (Bihar),Malyabag_ArrahRd_D (Bihar),Malyabag,Bihar,TRUE
22,627453,Tirunelveli_Krishnapuram_H (Tamil Nadu),Tirunelveli_Krishnapuram_H (Tamil Nadu),Tirunelveli_Krishnapuram_H (Tamil Nadu),Tirunelveli,Tamil Nadu,FALSE
23,800022,Patna_PhulwariSharif_L (Bihar),Patna_Sonagopalpur_H (Bihar),Patna_PhulwariSharif_L (Bihar),Patna,Bihar,FALSE
24,759104,Angul_Durgavihar_I (Orissa),Angul_Durgavihar_I (Orissa),Angul_Durgavihar_I (Orissa),Angul,Orissa,FALSE
25,691554,Adoor_Vadakkadathukavu_D (Kerala),Adoor_Vadakkadathukavu_D (Kerala),Adoor_Vadakkadathukavu_D (Kerala),Adoor,Kerala,FALSE
26,402304,Nagothane_Balsaital_D (Maharashtra),Nagothane_Balsaital_D (Maharashtra),Nagothane_Balsaital_D (Maharashtra),Nagothane,Maharashtra,TRUE
27,800111,Patna_PhulwariSharif_L (Bihar),Patna_PhulwariSharif_L (Bihar),Patna_PhulwariSharif_L (Bihar),Patna,Bihar,FALSE
28,131310,Gohana_Sector7_D (Haryana),Gohana_Sector7_D (Haryana),Gohana_Sector7_D (Haryana),Gohana,Haryana,FALSE
29,203209,Jewar_SJRoad_D (Uttar Pradesh),Jewar_SJRoad_D (Uttar Pradesh),Jewar_SJRoad_D (Uttar Pradesh),Jewar,Uttar Pradesh,TRUE
30,302010,Jaipur_RingRoad_L (Rajasthan),Jaipur_Sez_GW (Rajasthan),Jaipur_RingRoad_L (Rajasthan),Jaipur,Rajasthan,FALSE
31,331802,Ratangarh_Goldencolony_D (Rajasthan),Ratangarh_Goldencolony_D (Rajasthan),Ratangarh_Goldencolony_D (Rajasthan),Ratangarh,Rajasthan,FALSE
32,700151,Kolkata_Nazirabad_L (West Bengal),Kolkata_Nazirabad_L (West Bengal),Kolkata_Nazirabad_L (West Bengal),Kolkata,West Bengal,FALSE
33,413303,Pandharpur_RajCmplx_D (Maharashtra),Pandharpur_RajCmplx_D (Maharashtra),Pandharpur_RajCmplx_D (Maharashtra),Pandharpur,Maharashtra,TRUE
34,311030,Raila_PoliceSt_DPP (Rajasthan),Raila_PoliceSt_DPP (Rajasthan),Raila_PoliceSt_DPP (Rajasthan),Raila,Rajasthan,FALSE
35,205141,Shikohabad_COOffice_D (Uttar Pradesh),Shikohabad_COOffice_D (Uttar Pradesh),Shikohabad_COOffice_D (Uttar Pradesh),Shikohabad,Uttar Pradesh,FALSE
36,464671,Bareli_SourvDPP_D (Madhya Pradesh),Bareli_SourvDPP_D (Madhya Pradesh),Bareli_SourvDPP_D (Madhya Pradesh),Bareli,Madhya Pradesh,FALSE
37,841207,Chhapra_Ramnagar_I (Bihar),Chhapra_Ramnagar_I (Bihar),Chhapra_Ramnagar_I (Bihar),Chhapra,Bihar,TRUE
38,825318,Domchanch_Koderma_D (Jharkhand),Domchanch_Koderma_D (Jharkhand),Domchanch_Koderma_D (Jharkhand),Domchanch,Jharkhand,FALSE
39,450445,Burhanpur_StRoad_D (Madhya Pradesh),Burhanpur_StRoad_D (Madhya Pradesh),Burhanpur_StRoad_D (Madhya Pradesh),Burhanpur,Madhya Pradesh,TRUE
40,785662,Moranhat_Demow_DPP (Assam),Moranhat_Demow_DPP (Assam),Moranhat_Demow_DPP (Assam),Moranhat,Assam,FALSE
41,416811,Talere_Titha_DPP (Maharashtra),Talere_Titha_DPP (Maharashtra),Talere_Titha_DPP (Maharashtra),Talere,Maharashtra,FALSE
42,767018,Birmaharajpur_RedhakholRd_D (Orissa),Birmaharajpur_RedhakholRd_D (Orissa),Birmaharajpur_RedhakholRd_D (Orissa),Birmaharajpur,Orissa,FALSE
43,680693,Thrissur_Padavarad_I (Kerala),Thrissur_Padavarad_I (Kerala),Thrissur_Padavarad_I (Kerala),Thrissur,Kerala,TRUE
44,721452,Contai_Bankaberya_D (West Bengal),Contai_Bankaberya_D (West Bengal),Contai_Bankaberya_D (West Bengal),Contai,West Bengal,TRUE
45,743250,Kolkata_Gopalpur1_L (West Bengal),Kolkata_Gopalpur1_L (West Bengal),Kolkata_Gopalpur1_L (West Bengal),Kolkata,West Bengal,TRUE
46,335703,Srivijaynagar_Ward8_DPP (Rajasthan),Srivijaynagar_Ward8_DPP (Rajasthan),Srivijaynagar_Ward8_DPP (Rajasthan),Srivijaynagar,Rajasthan,FALSE
47,506003,Warangal_Stambampalli_I (Telangana),Warangal_Stambampalli_I (Telangana),Warangal_Stambampalli_I (Telangana),Warangal,Telangana,FALSE
48,401208,Mumbai_Satavili_L (Maharashtra),Mumbai_Satavili_L (Maharashtra),Mumbai_Satavili_L (Maharashtra),Mumbai,Maharashtra,FALSE
49,232328,Gahmar_KhuduraPthra_DPP (Uttar Pradesh),Gahmar_KhuduraPthra_DPP (Uttar Pradesh),Gahmar_KhuduraPthra_DPP (Uttar Pradesh),Gahmar,Uttar Pradesh,TRUE
50,754214,Kendrapara_Chhagharia_D (Orissa),Kendrapara_Chhagharia_D (Orissa),Kendrapara_Chhagharia_D (Orissa),Kendrapara,Orissa,TRUE
51,852161,SonbarsaBH_Pirnagra_DPP (Bihar),SonbarsaBH_Pirnagra_DPP (Bihar),SonbarsaBH_Pirnagra_DPP (Bihar),Sonbarsa-BH,Bihar,FALSE
52,673636,Kozhikode_Central_H (Kerala),Kozhikode_Central_H (Kerala),Kozhikode_Central_H (Kerala),Kozhikode,Kerala,FALSE
53,441301,Katol_Laxmingr_D (Maharashtra),Katol_Laxmingr_D (Maharashtra),Katol_Laxmingr_D (Maharashtra),Katol,Maharashtra,FALSE
54,136156,Kurukshetra_DDColony_D (Haryana),Kurukshetra_DDColony_D (Haryana),Kurukshetra_DDColony_D (Haryana),Kurukshetra,Haryana,FALSE
55,271871,Bahraich_Ameenpur_I (Uttar Pradesh),Bahraich_Ameenpur_I (Uttar Pradesh),Bahraich_Ameenpur_I (Uttar Pradesh),Bahraich,Uttar Pradesh,TRUE
56,680501,Chiramanangad_ConcordSchl_D (Kerala),Chiramanangad_ConcordSchl_D (Kerala),Chiramanangad_ConcordSchl_D (Kerala),Chiramanangad,Kerala,TRUE
57,486441,Raipurkarchulion_Joginhai_D (Madhya Pradesh),Raipurkarchulion_Joginhai_D (Madhya Pradesh),Raipurkarchulion_Joginhai_D (Madhya Pradesh),Raipur Karchulion,Madhya Pradesh,FALSE
58,516339,Vempalli_Kathaluru_D (Andhra Pradesh),Vempalli_Kathaluru_D (Andhra Pradesh),Vempalli_Kathaluru_D (Andhra Pradesh),Vempalli,Andhra Pradesh,TRUE
59,680027,Thrissur_Padavarad_I (Kerala),Thrissur_Padavarad_I (Kerala),Thrissur_Padavarad_I (Kerala),Thrissur,Kerala,FALSE
60,445205,Mahagaon_Central_DPP_1 (Maharashtra),Mahagaon_Central_DPP_1 (Maharashtra),Mahagaon_Central_DPP_1 (Maharashtra),Mahagaon,Maharashtra,FALSE
61,221006,Varanasi_Birbhanpur_H (Uttar Pradesh),Varanasi_Birbhanpur_H (Uttar Pradesh),Varanasi_Birbhanpur_H (Uttar Pradesh),Varanasi,Uttar Pradesh,FALSE
62,673593,SultanBathery_Kolagapara_D (Kerala),SultanBathery_Kolagapara_D (Kerala),SultanBathery_Kolagapara_D (Kerala),Sultan Bathery,Kerala,TRUE
63,440017,Nagpur_Tarodi_L (Maharashtra),Nagpur_Khapari_GW (Maharashtra),Nagpur_Tarodi_L (Maharashtra),Nagpur,Maharashtra,FALSE
64,601102,Chennai_Palavoyal_L (Tamil Nadu),Chennai_Parivakkam_H (Tamil Nadu),Chennai_Palavoyal_L (Tamil Nadu),Chennai,Tamil Nadu,FALSE
65,584129,Kowthal_UdayaNagar_D (Karnataka),Kowthal_UdayaNagar_D (Karnataka),Kowthal_UdayaNagar_D (Karnataka),Kowthal,Karnataka,FALSE
66,735235,Mainaguri_MilpaDPP_D (West Bengal),Mainaguri_MilpaDPP_D (West Bengal),Mainaguri_MilpaDPP_D (West Bengal),Mainaguri,West Bengal,TRUE
67,802302,Arrah_Anaith_D (Bihar),Arrah_Anaith_D (Bihar),Arrah_Anaith_D (Bihar),Arrah,Bihar,FALSE
68,690552,Kayamkulam_Peringala_D (Kerala),Kayamkulam_Peringala_D (Kerala),Kayamkulam_Peringala_D (Kerala),Kayamkulam,Kerala,TRUE
69,229405,Raebareli_Ratapur_D (Uttar Pradesh),Raebareli_Ratapur_D (Uttar Pradesh),Raebareli_Ratapur_D (Uttar Pradesh),Raebareli,Uttar Pradesh,TRUE
70,768104,Bargarh_Ambapali_D (Orissa),Bargarh_Ambapali_D (Orissa),Bargarh_Ambapali_D (Orissa),Bargarh,Orissa,FALSE
71,614619,Manamelkudi_HondaShow_D (Tamil Nadu),Manamelkudi_HondaShow_D (Tamil Nadu),Manamelkudi_HondaShow_D (Tamil Nadu),Manamelkudi,Tamil Nadu,TRUE
72,415111,Karad_SiddhivinayakM_D (Maharashtra),Karad_SiddhivinayakM_D (Maharashtra),Karad_SiddhivinayakM_D (Maharashtra),Karad,Maharashtra,TRUE
73,175012,JognderNgr_Dhelu_D (Himachal Pradesh),JognderNgr_Dhelu_D (Himachal Pradesh),JognderNgr_Dhelu_D (Himachal Pradesh),Joginder Nagar,Himachal Pradesh,FALSE
74,630210,Ponnamaravathi_Nattukkal_D (Tamil Nadu),Ponnamaravathi_Nattukkal_D (Tamil Nadu),Ponnamaravathi_Nattukkal_D (Tamil Nadu),Ponnamaravathi,Tamil Nadu,FALSE
75,508204,HuzurNagar_NgosColony_D (Telangana),HuzurNagar_NgosColony_D (Telangana),HuzurNagar_NgosColony_D (Telangana),Huzur Nagar,Telangana,TRUE
76,314038,Salumbar_Aspur_DPP (Rajasthan),Salumbar_Aspur_DPP (Rajasthan),Salumbar_Aspur_DPP (Rajasthan),Salumbar,Rajasthan,FALSE
77,530009,Visakhapatnam_Duvvada_H (Andhra Pradesh),Visakhapatnam_Duvvada_H (Andhra Pradesh),Visakhapatnam_Duvvada_H (Andhra Pradesh),Visakhapatnam,Andhra Pradesh,FALSE
78,691508,Kottarakkara_Pidavoor_DPP (Kerala),Kottarakkara_Pidavoor_DPP (Kerala),Kottarakkara_Pidavoor_DPP (Kerala),Kottarakkara,Kerala,TRUE
79,246726,Bijnor_NaginaRd_D (Uttar Pradesh),Bijnor_NaginaRd_D (Uttar Pradesh),Bijnor_NaginaRd_D (Uttar Pradesh),Bijnor,Uttar Pradesh,FALSE
80,364565,Amreli_Bhojalpara_D (Gujarat),Amreli_Bhojalpara_D (Gujarat),Amreli_Bhojalpara_D (Gujarat),Amreli,Gujarat,TRUE
81,607103,Panruti_Thiruvathigai_D (Tamil Nadu),Panruti_Thiruvathigai_D (Tamil Nadu),Panruti_Thiruvathigai_D (Tamil Nadu),Panruti,Tamil Nadu,FALSE
82,577553,Jagaluru_Tumatelayout_D (Karnataka),Jagaluru_Tumatelayout_D (Karnataka),Jagaluru_Tumatelayout_D (Karnataka),Jagaluru,Karnataka,TRUE
83,683542,Aluva_Peedika_H (Kerala),Aluva_Peedika_H (Kerala),Aluva_Peedika_H (Kerala),Aluva,Kerala,TRUE
84,210206,Chitrakoot_Khatawara_D (Uttar Pradesh),Chitrakoot_Khatawara_D (Uttar Pradesh),Chitrakoot_Khatawara_D (Uttar Pradesh),Chitrakoot,Uttar Pradesh,FALSE
85,121013,Faridabad_Mathurard_L (Haryana),Faridabad_Mathurard_L (Haryana),Faridabad_Mathurard_L (Haryana),Faridabad,Haryana,FALSE
86,824114,Goh_Golapar_D (Bihar),Goh_Golapar_D (Bihar),Goh_Golapar_D (Bihar),Goh,Bihar,TRUE
87,172110,Pooh_Spillow_D (Himachal Pradesh),Pooh_Spillow_D (Himachal Pradesh),Pooh_Spillow_D (Himachal Pradesh),Pooh,Himachal Pradesh,FALSE
88,723127,Balarampur_Bnshgd_D (West Bengal),Balarampur_Bnshgd_D (West Bengal),Balarampur_Bnshgd_D (West Bengal),Balarampur-WB,West Bengal,TRUE
89,614801,Pudukkottai_Lnpuram_D (Tamil Nadu),Pudukkottai_Lnpuram_D (Tamil Nadu),Pudukkottai_Lnpuram_D (Tamil Nadu),Pudukkottai,Tamil Nadu,TRUE
90,625205,Vadipatti_Pallapatti_D (Tamil Nadu),Vadipatti_Pallapatti_D (Tamil Nadu),Vadipatti_Pallapatti_D (Tamil Nadu),Vadipatti,Tamil Nadu,TRUE
91,721432,Bajkul_Kismat_D (West Bengal),Bajkul_Kismat_D (West Bengal),Bajkul_Kismat_D (West Bengal),Bajkul,West Bengal,TRUE
92,611108,Nagapattinam_AnnaiNgr_D (Tamil Nadu),Nagapattinam_AnnaiNgr_D (Tamil Nadu),Nagapattinam_AnnaiNgr_D (Tamil Nadu),Nagapattinam,Tamil Nadu,TRUE
93,524142,Kavali_Musunur_D (Andhra Pradesh),Kavali_Musunur_D (Andhra Pradesh),Kavali_Musunur_D (Andhra Pradesh),Kavali,Andhra Pradesh,FALSE
94,700063,Kolkata_TrtllaRD_L (West Bengal),Kolkata_TrtllaRD_L (West Bengal),Kolkata_TrtllaRD_L (West Bengal),Kolkata,West Bengal,FALSE
95,492009,Raipur_Guma_H (Chhattisgarh),Raipur_Guma_H (Chhattisgarh),Raipur_Guma_H (Chhattisgarh),Raipur,Chhattisgarh,FALSE
96,522018,Guntur_Kornepadu_I (Andhra Pradesh),Guntur_Kornepadu_I (Andhra Pradesh),Guntur_Kornepadu_I (Andhra Pradesh),Guntur,Andhra Pradesh,FALSE
97,452010,Indore_BarodaArjun_L (Madhya Pradesh),Indore_BarodaArjun_H (Madhya Pradesh),Indore_BarodaArjun_L (Madhya Pradesh),Indore,Madhya Pradesh,FALSE
98,521139,Vijayawada_Gudavalli_H (Andhra Pradesh),Vijayawada_Gudavalli_H (Andhra Pradesh),Vijayawada_Gudavalli_H (Andhra Pradesh),Vijayawada,Andhra Pradesh,FALSE
99,201300,Noida_Sector84_L (Uttar Pradesh),Noida_Temp_H (Uttar Pradesh),Noida_Sector84_L (Uttar Pradesh),Noida,Uttar Pradesh,FALSE
100,453555,Indore_BarodaArjun_L (Madhya Pradesh),Indore_BarodaArjun_H (Madhya Pradesh),Indore_BarodaArjun_L (Madhya Pradesh),Indore,Madhya Pradesh,FALSE
101,782428,KampurTown_Sorupathar_D (Assam),KampurTown_Sorupathar_D (Assam),KampurTown_Sorupathar_D (Assam),Kampur Town,Assam,FALSE
102,360576,Porbandar_Vadiplot_D (Gujarat),Porbandar_Vadiplot_D (Gujarat),Porbandar_Vadiplot_D (Gujarat),Porbandar,Gujarat,TRUE
103,523213,Ongole_AutoNagar_I (Andhra Pradesh),Ongole_AutoNagar_I (Andhra Pradesh),Ongole_AutoNagar_I (Andhra Pradesh),Ongole,Andhra Pradesh,TRUE
104,530020,Visakhapatnam_Duvvada_H (Andhra Pradesh),Visakhapatnam_Duvvada_H (Andhra Pradesh),Visakhapatnam_Duvvada_H (Andhra Pradesh),Visakhapatnam,Andhra Pradesh,FALSE
105,342023,Balesar_Unthwaliya_DPP (Rajasthan),Balesar_Unthwaliya_DPP (Rajasthan),Balesar_Unthwaliya_DPP (Rajasthan),Balesar,Rajasthan,FALSE
106,521214,Vissannapetaa_TiruvuruRd_D (Andhra Pradesh),Vissannapetaa_TiruvuruRd_D (Andhra Pradesh),Vissannapetaa_TiruvuruRd_D (Andhra Pradesh),Vissannapetaa,Andhra Pradesh,FALSE
107,781305,Sarthebari_Tmlichp_D (Assam),Sarthebari_Tmlichp_D (Assam),Sarthebari_Tmlichp_D (Assam),Sarthebari,Assam,TRUE
108,482020,Jabalpur_Timri_P (Madhya Pradesh),Jabalpur_Timri_P (Madhya Pradesh),Jabalpur_Timri_P (Madhya Pradesh),Jabalpur,Madhya Pradesh,FALSE
109,522213,Guntur_Kornepadu_I (Andhra Pradesh),Guntur_Kornepadu_I (Andhra Pradesh),Guntur_Kornepadu_I (Andhra Pradesh),Guntur,Andhra Pradesh,FALSE
110,516411,Proddatur_Jammalamadugu_DPP (Andhra Pradesh),Proddatur_Jammalamadugu_DPP (Andhra Pradesh),Proddatur_Jammalamadugu_DPP (Andhra Pradesh),Proddatur,Andhra Pradesh,TRUE
111,431004,Aurangabad_Gngapr_H (Maharashtra),Aurangabad_Gngapr_H (Maharashtra),Aurangabad_Gngapr_H (Maharashtra),Aurangabad,Maharashtra,FALSE
112,360370,Jetpur_Dasijivanpara_D (Gujarat),Jetpur_Dasijivanpara_D (Gujarat),Jetpur_Dasijivanpara_D (Gujarat),Jetpur,Gujarat,TRUE
113,396065,Vapi_Valwada_H (Gujarat),Vapi_Valwada_H (Gujarat),Vapi_Valwada_H (Gujarat),Vapi,Gujarat,TRUE
114,486886,Singrauli_Sringawali_D (Madhya Pradesh),Singrauli_Sringawali_D (Madhya Pradesh),Singrauli_Sringawali_D (Madhya Pradesh),Singrauli,Madhya Pradesh,TRUE
115,365560,Amreli_Rajula_DC (Gujarat),Amreli_Rajula_DC (Gujarat),Amreli_Rajula_DC (Gujarat),Rajula,Gujarat,TRUE
116,721404,Contai_Bankaberya_D (West Bengal),Contai_Bankaberya_D (West Bengal),Contai_Bankaberya_D (West Bengal),Contai,West Bengal,FALSE
117,515611,Gooty_ATPRoad_D (Andhra Pradesh),Gooty_ATPRoad_D (Andhra Pradesh),Gooty_ATPRoad_D (Andhra Pradesh),Gooty,Andhra Pradesh,FALSE
118,493891,Umerkote_Chandahandi_DPP (Orissa),Umerkote_Chandahandi_DPP (Orissa),Umerkote_Chandahandi_DPP (Orissa),Umerkote,Orissa,
119,148107,Barnala_DC (Punjab),Barnala_DC (Punjab),Barnala_DC (Punjab),Barnala,Punjab,FALSE
120,686038,Kottayam_Ettumanoor_H (Kerala),Kottayam_Ettumanoor_H (Kerala),Kottayam_Ettumanoor_H (Kerala),Kottayam,Kerala,TRUE
121,689125,Chengannur_OtheraRoad_D (Kerala),Chengannur_OtheraRoad_D (Kerala),Chengannur_OtheraRoad_D (Kerala),Chengannur,Kerala,FALSE
122,185131,Rajouri_PanjGrian_D (Jammu & Kashmir),Rajouri_PanjGrian_D (Jammu & Kashmir),Rajouri_PanjGrian_D (Jammu & Kashmir),Rajouri,Jammu & Kashmir,FALSE
123,721242,Kamarpukur_ChatiDPP_D (West Bengal),Kamarpukur_ChatiDPP_D (West Bengal),Kamarpukur_ChatiDPP_D (West Bengal),Kamarpukur,West Bengal,TRUE
124,401105,Mumbai_VasaiEast_L (Maharashtra),Mumbai_VasaiEast_L (Maharashtra),Mumbai_VasaiEast_L (Maharashtra),Mumbai,Maharashtra,FALSE
125,388131,Anand_VitthalUdyog_D (Gujarat),Anand_VitthalUdyog_D (Gujarat),Anand_VitthalUdyog_D (Gujarat),Anand,Gujarat,FALSE
126,303905,Jaipur_Sitapura_L (Rajasthan),Jaipur_Sez_GW (Rajasthan),Jaipur_Sitapura_L (Rajasthan),Jaipur,Rajasthan,FALSE
127,224206,Faizabad_DarshnNgr_I (Uttar Pradesh),Faizabad_DarshnNgr_I (Uttar Pradesh),Faizabad_DarshnNgr_I (Uttar Pradesh),Faizabad,Uttar Pradesh,TRUE
128,754226,Garjanpur_Gossei_D (Orissa),Garjanpur_Gossei_D (Orissa),Garjanpur_Gossei_D (Orissa),Garjanpur,Orissa,FALSE
129,680103,Thrissur_Koonammoochi_D (Kerala),Thrissur_Koonammoochi_D (Kerala),Thrissur_Koonammoochi_D (Kerala),Thrissur,Kerala,TRUE
130,733153,Balurghat_AkhirDPP_D (West Bengal),Balurghat_AkhirDPP_D (West Bengal),Balurghat_AkhirDPP_D (West Bengal),Balurghat,West Bengal,TRUE
131,211002,Allahabad_Rasulabad_H (Uttar Pradesh),Allahabad_Rasulabad_H (Uttar Pradesh),Allahabad_Rasulabad_H (Uttar Pradesh),Allahabad,Uttar Pradesh,FALSE
132,444701,Amravati_SaiNagar_D (Maharashtra),Amravati_SaiNagar_D (Maharashtra),Amravati_SaiNagar_D (Maharashtra),Amravati,Maharashtra,FALSE
133,177501,Hamirpur_Dosarka_D (Himachal Pradesh),Hamirpur_Dosarka_D (Himachal Pradesh),Hamirpur_Dosarka_D (Himachal Pradesh),Hamirpur,Himachal Pradesh,FALSE
134,273155,Anandnagar_DhniDhla_DPP (Uttar Pradesh),Anandnagar_DhniDhla_DPP (Uttar Pradesh),Anandnagar_DhniDhla_DPP (Uttar Pradesh),Anandnagar,Uttar Pradesh,FALSE
135,415709,Khed_TulshiCmplx_D (Maharashtra),Khed_TulshiCmplx_D (Maharashtra),Khed_TulshiCmplx_D (Maharashtra),Khed,Maharashtra,TRUE
136,485771,Maihar_Goshainganj_D (Madhya Pradesh),Maihar_Goshainganj_D (Madhya Pradesh),Maihar_Goshainganj_D (Madhya Pradesh),Maihar,Madhya Pradesh,TRUE
137,690010,Pathanamthitta_Mangaram_D (Kerala),Pathanamthitta_Mangaram_D (Kerala),Pathanamthitta_Mangaram_D (Kerala),Pathanamthitta,Kerala,TRUE
138,606804,Tiruvanamalai_VelNagar_D (Tamil Nadu),Tiruvanamalai_VelNagar_D (Tamil Nadu),Tiruvanamalai_VelNagar_D (Tamil Nadu),Tiruvannamalai,Tamil Nadu,FALSE
139,445216,Pusad_Central_DPP_2 (Maharashtra),Pusad_Central_DPP_2 (Maharashtra),Pusad_Central_DPP_2 (Maharashtra),Pusad,Maharashtra,FALSE
140,782135,Puranaigudam_Gomotha_DPP (Assam),Puranaigudam_Gomotha_DPP (Assam),Puranaigudam_Gomotha_DPP (Assam),Puranaigudam,Assam,TRUE
141,403518,Goa_Mapusa_L (Goa),Goa_Hub (Goa),Goa_Mapusa_L (Goa),Goa,Goa,FALSE
142,673542,Vadakara_Veerancheri_D (Kerala),Vadakara_Veerancheri_D (Kerala),Vadakara_Veerancheri_D (Kerala),Vadakara,Kerala,FALSE
143,341031,Merta_Riyanbari_DPP (Rajasthan),Merta_Riyanbari_DPP (Rajasthan),Merta_Riyanbari_DPP (Rajasthan),Merta,Rajasthan,FALSE
144,570014,Mysore_Hebbalestate_H (Karnataka),Mysore_Hebbalestate_H (Karnataka),Mysore_Hebbalestate_H (Karnataka),Mysore,Karnataka,FALSE
145,786158,JaytishNagar_Chpkhwa_DPP (Assam),JaytishNagar_Chpkhwa_DPP (Assam),JaytishNagar_Chpkhwa_DPP (Assam),JaytishNagar,Assam,FALSE
146,764063,Nabarangpr_PhdofDPP_D (Orissa),Nabarangpr_PhdofDPP_D (Orissa),Nabarangpr_PhdofDPP_D (Orissa),Nabarangapur,Orissa,TRUE
147,502371,Narayankhed_Turkapally_D (Telangana),Narayankhed_Turkapally_D (Telangana),Narayankhed_Turkapally_D (Telangana),Narayankhed,Telangana,TRUE
148,832107,Jamshedpur_Asanbani_H (Jharkhand),Jamshedpur_Asanbani_H (Jharkhand),Jamshedpur_Asanbani_H (Jharkhand),Jamshedpur,Jharkhand,FALSE
149,284406,Mahrauni_GandhiChowk_D (Uttar Pradesh),Mahrauni_GandhiChowk_D (Uttar Pradesh),Mahrauni_GandhiChowk_D (Uttar Pradesh),Mahrauni,Uttar Pradesh,FALSE
150,229881,Malihabad_Amanignj_DPP (Uttar Pradesh),Malihabad_Amanignj_DPP (Uttar Pradesh),Malihabad_Amanignj_DPP (Uttar Pradesh),Malihabad,Uttar Pradesh,FALSE
151,691001,Kollam_Kilikollur_H (Kerala),Kollam_Kilikollur_H (Kerala),Kollam_Kilikollur_H (Kerala),Kollam,Kerala,FALSE
152,441924,Bhandara_RjnaiDPP_D (Maharashtra),Bhandara_RjnaiDPP_D (Maharashtra),Bhandara_RjnaiDPP_D (Maharashtra),Bhandara,Maharashtra,FALSE
153,756129,Tihidi_Hanspat_DPP (Orissa),Tihidi_Hanspat_DPP (Orissa),Tihidi_Hanspat_DPP (Orissa),Tihidi,Orissa,FALSE
154,761028,Behrampur_Kanmna_D (Orissa),Behrampur_Kanmna_D (Orissa),Behrampur_Kanmna_D (Orissa),Behrampur,Orissa,TRUE
